R,V,S,E,P,H,landslide
0.891,0.265,0.502,0.487,0.474,0.462,1
0.383,0.557,0.698,0.379,0.606,0.327,0
0.425,0.276,0.664,0.774,0.343,0.519,1
0.462,0.377,0.937,0.644,0.74,0.313,1
0.634,0.426,0.393,0.051,0.492,0.253,1
0.679,0.376,0.412,0.58,0.593,0.239,1
0.575,0.232,0.827,0.553,0.276,0.543,1
0.064,0.571,0.399,0.917,0.494,0.57,0
0.196,0.722,0.87,0.675,0.448,0.496,1
0.635,0.457,0.631,0.155,0.542,0.733,1
0.479,0.538,0.711,0.249,0.088,0.725,1
0.491,0.96,0.339,0.599,0.389,0.718,1
0.609,0.275,0.197,0.776,0.116,0.55,1
0.587,0.257,0.858,0.369,0.668,0.645,1
0.696,0.662,0.795,0.492,0.532,0.61,1
0.486,0.466,0.438,0.398,0.595,0.914,1
0.465,0.418,0.396,0.544,0.749,0.679,0
0.453,0.377,0.333,0.415,0.462,0.507,0
0.568,0.058,0.703,0.284,0.878,0.592,1
0.703,0.555,0.568,0.51,0.795,0.409,0
0.511,0.446,0.523,0.637,0.5,0.574,0
0.854,0.342,0.657,0.222,0.71,0.502,1
0.423,0.847,0.761,0.436,0.061,0.5,1
0.905,0.595,0.972,0.853,0.384,0.313,1
0.224,0.541,0.835,0.347,0.406,0.174,1
0.352,0.524,0.663,0.484,0.683,0.911,1
0.113,0.713,0.575,0.454,0.494,0.68,1
0.202,0.809,0.55,0.3,0.281,0.461,0
0.638,0.889,0.245,0.875,0.364,0.609,1
0.495,0.175,0.337,0.387,0.635,0.794,0
0.671,0.189,0.724,0.574,0.883,0.771,1
0.436,0.758,0.859,0.171,0.326,0.503,0
0.186,0.597,0.49,0.904,0.612,0.592,0
0.405,0.704,0.472,0.057,0.603,0.32,1
0.792,0.439,0.9,0.617,0.809,0.597,1
0.362,0.843,0.65,0.706,0.25,0.303,0
0.513,0.336,0.547,0.402,0.222,0.281,0
0.591,0.493,0.545,0.531,0.297,0.724,1
0.053,0.351,0.826,0.37,0.229,0.424,0
0.459,0.629,0.46,0.224,0.637,0.956,1
0.48,0.816,0.219,0.275,0.293,0.513,0
0.409,0.587,0.629,0.467,0.865,0.52,1
0.394,0.704,0.095,0.268,0.52,0.373,0
0.663,0.506,0.349,0.913,0.583,0.682,1
0.209,0.32,0.456,0.975,0.213,0.783,0
0.816,0.327,0.883,0.374,0.499,0.565,1
0.81,0.782,0.747,0.177,0.515,0.617,1
0.745,0.691,0.828,0.649,0.462,0.567,1
0.103,0.115,0.939,0.695,0.393,0.731,1
0.332,0.828,0.697,0.45,0.053,0.35,0
0.717,0.353,0.772,0.674,0.632,0.678,1
0.67,0.504,0.416,0.464,0.109,0.13,0
0.711,0.296,0.715,0.525,0.42,0.342,0
0.406,0.356,0.681,0.685,0.284,0.292,1
0.5,0.947,0.618,0.401,0.479,0.587,0
0.513,0.543,0.701,0.759,0.299,0.61,0
0.283,0.406,0.549,0.778,0.503,0.142,1
0.521,0.152,0.516,0.568,0.407,0.227,1
0.487,0.764,0.946,0.887,0.639,0.156,1
0.294,0.414,0.799,0.913,0.815,0.751,1
0.829,0.278,0.493,0.723,0.846,0.625,1
0.461,0.703,0.703,0.427,0.4,0.141,0
0.341,0.725,0.331,0.944,0.854,0.441,0
0.612,0.819,0.668,0.432,0.154,0.474,0
0.399,0.824,0.639,0.488,0.443,0.477,1
0.616,0.332,0.428,0.486,0.335,0.448,1
0.677,0.237,0.844,0.575,0.483,0.357,1
0.707,0.788,0.613,0.478,0.56,0.206,1
0.572,0.471,0.614,0.336,0.811,0.151,0
0.905,0.14,0.615,0.233,0.442,0.33,1
0.915,0.795,0.618,0.344,0.788,0.121,1
0.535,0.421,0.713,0.573,0.512,0.408,1
0.883,0.294,0.68,0.703,0.867,0.126,1
0.549,0.751,0.882,0.405,0.174,0.14,0
0.294,0.516,0.905,0.405,0.614,0.351,1
0.244,0.171,0.54,0.575,0.561,0.413,0
0.668,0.614,0.296,0.767,0.646,0.091,0
0.645,0.633,0.908,0.287,0.609,0.381,1
0.763,0.812,0.83,0.187,0.172,0.525,1
0.695,0.62,0.601,0.128,0.707,0.254,1
0.25,0.332,0.636,0.212,0.229,0.504,1
0.326,0.374,0.824,0.563,0.868,0.072,0
0.6,0.665,0.929,0.878,0.62,0.321,0
0.946,0.538,0.578,0.963,0.637,0.251,1
0.944,0.334,0.469,0.104,0.297,0.134,0
0.648,0.679,0.481,0.589,0.194,0.163,0
0.374,0.738,0.688,0.77,0.637,0.641,1
0.321,0.469,0.687,0.23,0.632,0.771,0
0.319,0.147,0.898,0.41,0.107,0.322,1
0.247,0.295,0.445,0.784,0.353,0.596,1
0.886,0.628,0.93,0.758,0.327,0.873,1
0.348,0.576,0.74,0.449,0.582,0.578,1
0.379,0.28,0.53,0.252,0.546,0.372,1
0.858,0.595,0.473,0.591,0.587,0.472,1
0.111,0.674,0.89,0.467,0.891,0.617,0
0.66,0.588,0.555,0.457,0.541,0.425,1
0.354,0.209,0.735,0.648,0.111,0.409,0
0.5,0.567,0.678,0.845,0.555,0.237,1
0.824,0.624,0.937,0.089,0.706,0.372,1
0.233,0.396,0.546,0.787,0.523,0.353,1
0.327,0.639,0.681,0.55,0.84,0.485,1
0.191,0.789,0.844,0.654,0.593,0.38,1
0.683,0.915,0.428,0.395,0.276,0.792,1
0.35,0.481,0.629,0.646,0.579,0.243,1
0.874,0.439,0.723,0.51,0.062,0.31,1
0.377,0.583,0.812,0.615,0.465,0.457,1
0.642,0.695,0.324,0.264,0.526,0.847,0
0.198,0.36,0.168,0.864,0.189,0.529,1
0.541,0.455,0.921,0.165,0.559,0.657,1
0.631,0.471,0.48,0.786,0.36,0.319,0
0.443,0.543,0.406,0.509,0.494,0.68,0
0.382,0.427,0.667,0.106,0.16,0.682,1
0.475,0.124,0.394,0.289,0.645,0.349,1
0.231,0.824,0.798,0.735,0.843,0.76,1
0.581,0.425,0.899,0.223,0.115,0.568,1
0.547,0.635,0.888,0.695,0.257,0.143,1
0.04,0.339,0.118,0.492,0.178,0.457,1
0.589,0.592,0.089,0.661,0.296,0.383,0
0.57,0.695,0.926,0.701,0.844,0.709,1
0.65,0.669,0.438,0.697,0.468,0.285,1
0.399,0.502,0.561,0.492,0.601,0.657,0
0.59,0.193,0.762,0.266,0.525,0.631,1
0.178,0.677,0.839,0.738,0.514,0.256,0
0.785,0.844,0.682,0.732,0.705,0.389,1
0.583,0.418,0.46,0.404,0.803,0.067,1
0.452,0.592,0.418,0.73,0.466,0.638,1
0.37,0.804,0.765,0.234,0.486,0.156,1
0.573,0.961,0.462,0.816,0.416,0.424,0
0.653,0.58,0.208,0.407,0.771,0.392,1
0.246,0.558,0.888,0.371,0.446,0.63,1
0.793,0.422,0.568,0.837,0.386,0.042,0
0.526,0.83,0.629,0.23,0.419,0.514,0
0.441,0.842,0.909,0.336,0.455,0.653,1
0.141,0.536,0.52,0.637,0.858,0.166,1
0.836,0.376,0.52,0.465,0.616,0.393,1
0.446,0.687,0.83,0.199,0.497,0.267,1
0.537,0.462,0.542,0.853,0.462,0.917,1
0.482,0.301,0.65,0.161,0.785,0.352,0
0.132,0.762,0.651,0.327,0.488,0.691,1
0.738,0.536,0.622,0.408,0.374,0.491,1
0.53,0.301,0.924,0.741,0.712,0.355,0
0.335,0.07,0.621,0.747,0.22,0.784,1
0.551,0.127,0.746,0.221,0.324,0.718,1
0.351,0.691,0.445,0.838,0.306,0.624,1
0.478,0.16,0.616,0.451,0.632,0.589,1
0.637,0.933,0.67,0.535,0.712,0.711,0
0.339,0.527,0.996,0.579,0.047,0.712,1
0.505,0.182,0.344,0.175,0.892,0.167,1
0.819,0.545,0.457,0.79,0.934,0.756,0
0.335,0.801,0.929,0.308,0.905,0.655,1
0.333,0.44,0.267,0.668,0.612,0.592,0
0.429,0.64,0.753,0.554,0.524,0.329,0
0.146,0.872,0.876,0.286,0.715,0.267,0
0.871,0.64,0.698,0.516,0.771,0.319,1
0.257,0.179,0.487,0.353,0.516,0.675,1
0.888,0.837,0.867,0.24,0.491,0.244,0
0.204,0.226,0.625,0.499,0.432,0.325,1
0.5,0.173,0.706,0.749,0.722,0.32,0
0.576,0.588,0.972,0.783,0.395,0.179,1
0.562,0.742,0.711,0.613,0.762,0.652,1
0.703,0.598,0.511,0.584,0.518,0.36,0
0.489,0.579,0.388,0.321,0.442,0.105,1
0.415,0.724,0.86,0.911,0.563,0.967,1
0.637,0.42,0.629,0.71,0.331,0.067,0
0.628,0.515,0.804,0.297,0.57,0.525,1
0.468,0.339,0.472,0.894,0.679,0.63,1
0.762,0.371,0.757,0.932,0.446,0.311,1
0.474,0.299,0.769,0.69,0.539,0.312,1
0.509,0.65,0.402,0.227,0.515,0.594,0
0.639,0.855,0.863,0.562,0.612,0.945,1
0.758,0.561,0.919,0.807,0.704,0.425,1
0.3,0.299,0.596,0.829,0.466,0.405,1
0.356,0.571,0.652,0.701,0.635,0.281,0
0.71,0.505,0.985,0.472,0.394,0.33,1
0.714,0.407,0.749,0.764,0.576,0.881,1
0.701,0.205,0.362,0.548,0.48,0.336,0
0.282,0.55,0.918,0.645,0.298,0.345,1
0.514,0.589,0.626,0.328,0.733,0.948,1
0.169,0.463,0.762,0.409,0.607,0.912,1
0.227,0.423,0.174,0.47,0.554,0.116,0
0.762,0.347,0.422,0.571,0.533,0.818,1
0.888,0.185,0.68,0.334,0.657,0.432,0
0.63,0.504,0.959,0.617,0.553,0.628,1
0.496,0.38,0.638,0.27,0.479,0.454,1
0.366,0.432,0.553,0.845,0.559,0.657,1
0.11,0.317,0.928,0.381,0.357,0.434,1
0.895,0.631,0.553,0.237,0.614,0.568,1
0.726,0.703,0.359,0.149,0.305,0.654,1
0.316,0.498,0.596,0.347,0.873,0.8,1
0.596,0.825,0.643,0.646,0.474,0.354,1
0.186,0.662,0.932,0.475,0.561,0.426,1
0.536,0.652,0.302,0.162,0.994,0.564,1
0.71,0.752,0.745,0.288,0.638,0.495,1
0.501,0.729,0.146,0.464,0.128,0.71,0
0.568,0.654,0.9,0.247,0.181,0.616,1
0.32,0.29,0.724,0.281,0.362,0.225,1
0.841,0.958,0.461,0.367,0.542,0.263,1
0.738,0.892,0.75,0.305,0.592,0.362,0
0.437,0.759,0.175,0.55,0.307,0.185,0
0.366,0.474,0.652,0.445,0.196,0.214,0
0.825,0.484,0.25,0.802,0.444,0.922,0
0.615,0.6,0.622,0.594,0.326,0.515,1
0.493,0.042,0.631,0.538,0.334,0.4,1
0.192,0.38,0.927,0.758,0.292,0.819,1
0.365,0.354,0.703,0.244,0.308,0.519,1
0.79,0.286,0.38,0.17,0.383,0.259,0
0.085,0.501,0.87,0.175,0.229,0.066,0
0.115,0.599,0.731,0.466,0.301,0.758,1
0.379,0.338,0.52,0.525,0.801,0.249,0
0.426,0.327,0.542,0.481,0.681,0.797,1
0.795,0.215,0.713,0.766,0.821,0.265,1
0.391,0.08,0.858,0.498,0.348,0.452,0
0.622,0.286,0.855,0.149,0.329,0.331,1
0.646,0.232,0.677,0.568,0.802,0.207,1
0.636,0.427,0.927,0.492,0.622,0.152,1
0.731,0.5,0.23,0.349,0.881,0.461,0
0.658,0.945,0.65,0.522,0.551,0.417,0
0.166,0.978,0.588,0.767,0.284,0.142,0
0.458,0.95,0.655,0.383,0.69,0.156,1
0.838,0.542,0.678,0.657,0.679,0.103,1
0.773,0.742,0.392,0.939,0.409,0.587,1
0.441,0.483,0.534,0.709,0.516,0.311,1
0.765,0.691,0.639,0.558,0.61,0.44,0
0.372,0.226,0.663,0.438,0.91,0.319,1
0.602,0.386,0.247,0.353,0.347,0.478,0
0.408,0.555,0.692,0.253,0.561,0.743,1
0.775,0.389,0.531,0.545,0.311,0.454,1
0.525,0.168,0.268,0.429,0.409,0.415,1
0.578,0.348,0.357,0.646,0.464,0.412,0
0.185,0.861,0.914,0.739,0.847,0.138,0
0.76,0.617,0.913,0.277,0.775,0.269,1
0.405,0.884,0.473,0.518,0.369,0.931,0
0.432,0.368,0.826,0.428,0.419,0.819,1
0.617,0.616,0.918,0.675,0.411,0.584,1
0.801,0.236,0.731,0.668,0.486,0.59,1
0.497,0.278,0.758,0.314,0.783,0.461,1
0.402,0.534,0.812,0.668,0.72,0.907,1
0.456,0.433,0.645,0.395,0.509,0.555,1
0.636,0.597,0.905,0.549,0.4,0.267,1
0.71,0.621,0.544,0.837,0.633,0.723,1
0.672,0.559,0.846,0.598,0.298,0.641,1
0.374,0.18,0.892,0.907,0.553,0.288,1
0.761,0.09,0.676,0.355,0.644,0.799,1
0.66,0.293,0.701,0.759,0.102,0.019,1
0.61,0.898,0.701,0.696,0.623,0.433,1
0.643,0.121,0.325,0.333,0.418,0.711,1
0.626,0.452,0.907,0.606,0.739,0.365,1
0.653,0.05,0.488,0.8,0.584,0.842,1
0.607,0.348,0.662,0.882,0.096,0.202,1
0.212,0.778,0.739,0.71,0.191,0.652,0
0.195,0.59,0.653,0.195,0.593,0.566,0
0.697,0.608,0.823,0.598,0.609,0.444,1
0.161,0.358,0.849,0.113,0.892,0.326,1
0.381,0.319,0.9,0.576,0.416,0.431,1
0.636,0.476,0.734,0.338,0.672,0.455,0
0.686,0.37,0.454,0.156,0.838,0.358,1
0.564,0.485,0.361,0.188,0.576,0.42,0
0.513,0.62,0.994,0.852,0.184,0.308,1
0.346,0.577,0.73,0.53,0.719,0.481,1
0.959,0.293,0.61,0.797,0.36,0.229,1
0.584,0.33,0.845,0.841,0.56,0.115,0
0.883,0.032,0.273,0.458,0.386,0.664,1
0.123,0.775,0.878,0.573,0.45,0.424,1
0.205,0.672,0.898,0.8,0.659,0.15,1
0.435,0.737,0.833,0.68,0.472,0.8,0
0.73,0.266,0.661,0.397,0.805,0.476,1
0.578,0.142,0.204,0.314,0.35,0.569,1
0.327,0.541,0.245,0.322,0.565,0.363,1
0.667,0.664,0.71,0.815,0.352,0.593,1
0.329,0.492,0.311,0.629,0.359,0.291,0
0.336,0.529,0.624,0.838,0.404,0.11,1
0.312,0.489,0.99,0.454,0.365,0.278,1
0.474,0.531,0.697,0.863,0.821,0.44,0
0.437,0.533,0.75,0.768,0.721,0.251,1
0.728,0.758,0.344,0.231,0.657,0.599,1
0.191,0.334,0.487,0.889,0.484,0.287,1
0.412,0.175,0.601,0.426,0.355,0.327,0
0.419,0.142,0.472,0.904,0.717,0.506,1
0.745,0.681,0.809,0.506,0.248,0.33,1
0.648,0.238,0.785,0.466,0.589,0.593,1
0.785,0.334,0.729,0.639,0.658,0.566,1
0.321,0.718,0.853,0.605,0.516,0.705,0
0.801,0.574,0.313,0.366,0.724,0.06,0
0.586,0.187,0.554,0.416,0.349,0.39,0
0.362,0.39,0.489,0.902,0.471,0.368,1
0.228,0.54,0.329,0.241,0.693,0.239,0
0.827,0.079,0.638,0.149,0.828,0.438,1
0.335,0.673,0.63,0.705,0.41,0.544,1
0.422,0.207,0.809,0.369,0.343,0.438,1
0.409,0.722,0.548,0.29,0.74,0.91,1
0.577,0.529,0.89,0.531,0.612,0.51,1
0.285,0.544,0.903,0.273,0.473,0.658,1
0.782,0.188,0.287,0.726,0.665,0.399,1
0.453,0.102,0.362,0.43,0.531,0.871,1
0.871,0.768,0.735,0.955,0.606,0.326,1
0.398,0.635,0.528,0.696,0.301,0.076,1
0.698,0.551,0.509,0.334,0.559,0.523,1
0.189,0.528,0.762,0.376,0.901,0.575,1
0.798,0.805,0.718,0.497,0.265,0.666,0
0.901,0.266,0.509,0.23,0.471,0.353,1
0.009,0.363,0.899,0.507,0.383,0.594,1
0.484,0.889,0.712,0.91,0.351,0.379,1
0.454,0.92,0.549,0.514,0.795,0.263,1
0.074,0.684,0.734,0.754,0.415,0.894,0
0.43,0.681,0.632,0.506,0.556,0.581,1
0.333,0.641,0.636,0.23,0.093,0.728,1
0.34,0.514,0.382,0.758,0.252,0.421,1
0.742,0.776,0.827,0.195,0.479,0.608,1
0.331,0.452,0.347,0.553,0.228,0.321,1
0.865,0.619,0.624,0.162,0.165,0.208,1
0.312,0.669,0.867,0.843,0.71,0.044,1
0.591,0.5,0.207,0.461,0.705,0.461,0
0.151,0.532,0.725,0.282,0.385,0.811,0
0.42,0.82,0.408,0.871,0.3,0.49,1
0.289,0.661,0.738,0.763,0.789,0.38,0
0.537,0.55,0.428,0.44,0.169,0.88,1
0.669,0.425,0.59,0.683,0.402,0.931,0
0.406,0.334,0.664,0.472,0.743,0.763,1
0.099,0.978,0.81,0.408,0.115,0.668,0
0.405,0.745,0.671,0.677,0.508,0.388,1
0.573,0.145,0.872,0.552,0.196,0.639,1
0.231,0.92,0.69,0.189,0.396,0.283,0
0.582,0.597,0.454,0.286,0.954,0.741,1
0.164,0.574,0.498,0.685,0.326,0.529,0
0.301,0.422,0.752,0.559,0.935,0.492,0
0.525,0.643,0.895,0.341,0.495,0.578,1
0.414,0.636,0.788,0.206,0.65,0.812,1
0.657,0.319,0.656,0.342,0.817,0.854,1
0.051,0.314,0.615,0.745,0.816,0.636,0
0.49,0.921,0.296,0.708,0.128,0.712,0
0.427,0.596,0.182,0.228,0.211,0.68,0
0.637,0.366,0.774,0.136,0.81,0.331,0
0.606,0.158,0.63,0.24,0.71,0.239,1
0.501,0.485,0.867,0.363,0.426,0.329,1
0.669,0.294,0.954,0.469,0.61,0.184,1
0.021,0.29,0.67,0.39,0.607,0.147,0
0.225,0.845,0.331,0.202,0.452,0.679,0
0.301,0.505,0.198,0.392,0.42,0.401,1
0.678,0.813,0.334,0.49,0.303,0.206,1
0.566,0.496,0.359,0.769,0.134,0.869,0
0.142,0.402,0.623,0.471,0.439,0.581,1
0.438,0.697,0.577,0.603,0.388,0.361,1
0.574,0.414,0.713,0.26,0.775,0.927,1
0.323,0.439,0.622,0.745,0.768,0.1,1
0.15,0.075,0.419,0.481,0.446,0.157,0
0.369,0.427,0.83,0.658,0.261,0.177,1
0.871,0.663,0.315,0.497,0.33,0.584,0
0.924,0.909,0.584,0.226,0.091,0.673,1
0.457,0.442,0.36,0.75,0.335,0.583,1
0.433,0.359,0.194,0.832,0.243,0.614,0
0.574,0.455,0.297,0.553,0.476,0.466,0
0.52,0.185,0.429,0.739,0.7,0.835,1
0.225,0.843,0.417,0.235,0.496,0.265,1
0.185,0.522,0.772,0.514,0.494,0.318,0
0.749,0.461,0.318,0.101,0.362,0.825,1
0.171,0.544,0.794,0.631,0.459,0.325,1
0.867,0.72,0.546,0.2,0.828,0.609,0
0.102,0.226,0.895,0.239,0.961,0.169,0
0.866,0.549,0.874,0.413,0.094,0.277,1
0.375,0.276,0.878,0.653,0.764,0.662,1
0.082,0.937,0.537,0.746,0.836,0.542,0
0.722,0.667,0.535,0.608,0.116,0.138,0
0.553,0.768,0.773,0.303,0.706,0.574,1
0.54,0.298,0.874,0.859,0.591,0.145,1
0.459,0.52,0.807,0.384,0.455,0.493,1
0.444,0.412,0.581,0.422,0.565,0.496,1
0.322,0.548,0.847,0.299,0.286,0.594,1
0.428,0.751,0.509,0.594,0.533,0.661,1
0.526,0.468,0.535,0.345,0.263,0.322,0
0.153,0.804,0.882,0.597,0.788,0.609,1
0.666,0.425,0.629,0.507,0.516,0.125,1
0.315,0.571,0.704,0.301,0.291,0.864,1
0.074,0.728,0.542,0.393,0.438,0.343,0
0.426,0.14,0.917,0.335,0.857,0.083,1
0.52,0.543,0.612,0.561,0.762,0.241,0
0.304,0.675,0.574,0.196,0.719,0.635,0
0.251,0.516,0.848,0.088,0.673,0.246,1
0.17,0.609,0.987,0.022,0.607,0.799,0
0.402,0.678,0.211,0.621,0.13,0.712,1
0.215,0.645,0.893,0.316,0.796,0.5,1
0.295,0.318,0.829,0.195,0.444,0.842,0
0.264,0.07,0.445,0.578,0.199,0.854,1
0.175,0.448,0.737,0.323,0.17,0.676,1
0.793,0.584,0.863,0.234,0.458,0.384,1
0.39,0.439,0.793,0.386,0.06,0.442,1
0.848,0.351,0.777,0.899,0.132,0.335,1
0.35,0.5,0.5,0.389,0.407,0.446,1
0.675,0.498,0.16,0.716,0.495,0.796,0
0.742,0.408,0.537,0.713,0.479,0.768,1
0.812,0.944,0.624,0.728,0.27,0.553,1
0.555,0.724,0.576,0.623,0.405,0.355,0
0.385,0.305,0.746,0.341,0.683,0.54,1
0.546,0.25,0.78,0.17,0.558,0.203,1
0.537,0.476,0.58,0.293,0.318,0.717,0
0.299,0.525,0.632,0.371,0.237,0.52,0
0.46,0.443,0.521,0.57,0.703,0.56,0
0.298,0.192,0.552,0.571,0.809,0.582,1
0.798,0.279,0.391,0.366,0.406,0.576,1
0.101,0.577,0.855,0.246,0.202,0.618,0
0.513,0.658,0.611,0.901,0.455,0.263,0
0.255,0.352,0.655,0.229,0.468,0.22,0
0.541,0.888,0.424,0.611,0.674,0.22,0
0.395,0.411,0.81,0.504,0.218,0.672,1
0.399,0.191,0.133,0.452,0.757,0.243,0
0.383,0.264,0.044,0.555,0.899,0.354,0
0.402,0.242,0.88,0.88,0.611,0.187,1
0.598,0.72,0.639,0.969,0.495,0.415,1
0.532,0.252,0.227,0.411,0.903,0.514,1
0.751,0.666,0.3,0.124,0.451,0.45,0
0.319,0.149,0.921,0.647,0.811,0.476,0
0.529,0.466,0.723,0.316,0.631,0.74,1
0.64,0.752,0.763,0.411,0.593,0.646,0
0.38,0.607,0.787,0.617,0.522,0.45,0
0.862,0.52,0.671,0.592,0.761,0.584,1
0.528,0.587,0.46,0.371,0.418,0.246,1
0.754,0.166,0.513,0.53,0.743,0.624,0
0.425,0.32,0.776,0.778,0.922,0.325,0
0.079,0.44,0.922,0.452,0.528,0.654,1
0.749,0.402,0.764,0.141,0.165,0.583,1
0.473,0.563,0.821,0.596,0.436,0.147,0
0.803,0.651,0.747,0.501,0.706,0.54,1
0.45,0.332,0.728,0.464,0.442,0.386,1
0.731,0.721,0.968,0.659,0.431,0.611,1
0.954,0.266,0.647,0.739,0.092,0.767,1
0.466,0.421,0.694,0.792,0.566,0.601,1
0.439,0.52,0.723,0.29,0.188,0.484,1
0.628,0.888,0.93,0.073,0.684,0.11,1
0.476,0.744,0.724,0.827,0.702,0.343,1
0.301,0.586,0.905,0.441,0.267,0.579,1
0.536,0.639,0.638,0.541,0.424,0.433,0
0.499,0.379,0.798,0.575,0.756,0.371,1
0.571,0.364,0.145,0.254,0.691,0.422,0
0.831,0.155,0.521,0.721,0.898,0.922,1
0.493,0.287,0.764,0.86,0.641,0.743,0
0.269,0.514,0.51,0.581,0.785,0.193,0
0.97,0.452,0.86,0.482,0.676,0.579,1
0.129,0.173,0.477,0.573,0.334,0.796,1
0.645,0.569,0.542,0.337,0.887,0.348,1
0.275,0.527,0.238,0.459,0.39,0.254,1
0.746,0.174,0.908,0.093,0.185,0.169,1
0.767,0.436,0.967,0.51,0.578,0.305,1
0.33,0.215,0.797,0.139,0.77,0.332,0
0.664,0.257,0.128,0.551,0.702,0.565,1
0.272,0.238,0.487,0.67,0.48,0.477,1
0.224,0.307,0.545,0.746,0.701,0.684,1
0.129,0.64,0.611,0.555,0.354,0.283,0
0.59,0.627,0.862,0.433,0.671,0.062,0
0.696,0.822,0.593,0.523,0.121,0.885,0
0.651,0.396,0.175,0.401,0.177,0.223,1
0.363,0.53,0.509,0.952,0.553,0.129,0
0.247,0.249,0.859,0.834,0.113,0.132,1
0.197,0.345,0.382,0.245,0.248,0.389,1
0.564,0.548,0.574,0.466,0.472,0.718,1
0.913,0.441,0.955,0.236,0.545,0.733,1
0.781,0.452,0.555,0.605,0.54,0.395,1
0.761,0.386,0.569,0.498,0.386,0.755,1
0.573,0.631,0.855,0.181,0.602,0.351,1
0.945,0.415,0.546,0.466,0.77,0.069,0
0.173,0.523,0.868,0.404,0.145,0.623,1
0.606,0.656,0.43,0.509,0.485,0.307,0
0.781,0.899,0.813,0.563,0.452,0.405,0
0.196,0.725,0.154,0.271,0.876,0.099,1
0.485,0.058,0.718,0.364,0.516,0.817,1
0.493,0.05,0.674,0.55,0.663,0.764,1
0.342,0.637,0.795,0.485,0.188,0.658,0
0.172,0.679,0.564,0.608,0.31,0.225,1
0.885,0.566,0.873,0.67,0.758,0.394,1
0.271,0.397,0.671,0.899,0.275,0.361,0
0.328,0.513,0.898,0.904,0.167,0.523,1
0.366,0.465,0.904,0.143,0.547,0.586,1
0.434,0.697,0.545,0.185,0.141,0.455,0
0.578,0.437,0.714,0.716,0.43,0.696,0
0.712,0.838,0.648,0.748,0.367,0.693,0
0.74,0.384,0.24,0.333,0.682,0.65,1
0.911,0.933,0.462,0.313,0.621,0.464,1
0.582,0.902,0.205,0.46,0.404,0.279,1
0.879,0.858,0.555,0.524,0.543,0.609,1
0.41,0.476,0.439,0.09,0.144,0.593,0
0.524,0.273,0.533,0.435,0.245,0.787,0
0.473,0.685,0.651,0.253,0.689,0.2,1
0.705,0.743,0.424,0.834,0.473,0.834,0
0.334,0.502,0.82,0.625,0.327,0.315,1
0.784,0.383,0.337,0.801,0.829,0.091,1
0.45,0.28,0.71,0.796,0.549,0.669,0
0.524,0.588,0.915,0.758,0.249,0.324,0
0.326,0.413,0.679,0.316,0.712,0.824,0
0.444,0.219,0.366,0.326,0.294,0.128,1
0.416,0.758,0.948,0.837,0.586,0.516,0
0.57,0.562,0.776,0.259,0.218,0.223,0
0.166,0.243,0.494,0.683,0.849,0.043,0
0.485,0.627,0.936,0.087,0.56,0.382,1
0.551,0.796,0.499,0.479,0.455,0.862,0
0.409,0.835,0.75,0.257,0.918,0.681,0
0.79,0.396,0.526,0.422,0.362,0.737,1
0.658,0.868,0.546,0.374,0.173,0.574,0
0.727,0.417,0.495,0.231,0.783,0.75,1
0.271,0.454,0.312,0.718,0.486,0.945,1
0.528,0.387,0.525,0.608,0.627,0.647,1
0.068,0.401,0.831,0.449,0.638,0.432,1
0.324,0.527,0.394,0.558,0.762,0.505,0
0.77,0.626,0.824,0.56,0.136,0.819,1
0.233,0.749,0.524,0.653,0.839,0.573,0
0.556,0.238,0.825,0.905,0.664,0.459,1
0.217,0.917,0.821,0.531,0.304,0.115,0
0.149,0.74,0.496,0.823,0.364,0.081,1
0.719,0.9,0.799,0.216,0.247,0.256,1
0.495,0.747,0.505,0.949,0.648,0.052,0
0.102,0.384,0.234,0.562,0.597,0.411,0
0.097,0.731,0.511,0.757,0.198,0.746,0
0.536,0.544,0.876,0.509,0.483,0.388,0
0.69,0.327,0.865,0.681,0.323,0.073,1
0.325,0.378,0.916,0.597,0.347,0.753,1
0.681,0.126,0.877,0.322,0.349,0.392,1
0.567,0.61,0.621,0.745,0.219,0.76,1
0.428,0.496,0.55,0.068,0.795,0.474,0
0.566,0.356,0.763,0.154,0.427,0.591,1
0.239,0.699,0.656,0.773,0.52,0.963,1
0.475,0.422,0.597,0.706,0.625,0.719,1
0.305,0.282,0.229,0.577,0.466,0.863,1
0.446,0.719,0.64,0.818,0.296,0.482,1
0.371,0.533,0.651,0.513,0.399,0.49,1
0.204,0.443,0.601,0.676,0.624,0.381,1
0.61,0.705,0.635,0.925,0.373,0.585,0
0.889,0.547,0.458,0.246,0.338,0.696,1
0.634,0.624,0.585,0.351,0.68,0.825,1
0.522,0.459,0.82,0.586,0.355,0.815,1
0.613,0.709,0.233,0.32,0.304,0.49,0
0.78,0.111,0.687,0.635,0.535,0.181,1
0.867,0.787,0.777,0.447,0.106,0.638,1
0.456,0.802,0.455,0.8,0.461,0.521,0
0.386,0.438,0.441,0.645,0.211,0.105,1
0.541,0.352,0.809,0.723,0.691,0.619,1
0.304,0.305,0.957,0.711,0.423,0.135,1
0.189,0.554,0.185,0.627,0.381,0.275,0
0.609,0.771,0.868,0.573,0.625,0.422,1
0.617,0.837,0.842,0.488,0.872,0.806,1
0.205,0.869,0.491,0.613,0.536,0.51,1
